GAME_ID;GENRE;COMMENTARY TITLE;COMMENTARY;RATE;DATE;GENERAL OPINION ABOUT THE COMMENTARY
0;Action;This game Set Boundaries so high for VR;When i was a kid, I never thought i would experience a game like this in my Lifetime, but Valve is always ahead of time, I really hope They get back to making a lot of games, or any VR game like Half Life Alyx. I think VR games should take notes from this amazing masterpiece;10;3 April 2020;20 out of 20 found this helpful.
0;Action;Alyx it a lot!;Half Life Alyx, is just breathtaking. The story, the graphics, suspense - everything rolled into this VR adventure. I was a big fan of Lone Echo which I believe was the best VR experience until this gem came along. If you were a fan of the two original Half Life games or not, this game/experience will blow you away. It's kinda what the world of VR has been waiting for and will certainly attract more players. I'm sure other reviewers will go into more detail, but there's one short scene in the beginning that stays with me, I was just stood frozen to the the spot when 'it' happened! I won't tell just in case I spoil it for you, If you've not tried VR or Half Life Alyx, go and make the leap, you'll not be disappointed...;10;1 June 2020;16 out of 16 found this helpful.
0;Action;The best VR game on the market.;VR has always felt a bit like a gimmick. Despite being a massive supporter of the platform, most VR exclusives are simple games, even the best ones such as beat saber or blade and sorcery. These are both fantastic games but they don't quite have the drawing factor that something like a call of duty or assassin's creed. Enter Half Life: Alyx. Since 2007 the idea of half life 3 has been a bit of a meme and whilst this may not be that game, it's incredible to finally have a new half life game. And not only is it a new game but it is the next half life game, a full fledged triple A title. On VR. Exclusively. Valve have released an incredible game that really shows that any game can work in VR and that the platform has just as much potential as the PS5. Horrific atmosphere and incredibley immersive, this game oozes passion and love. If you have VR, buy this game. It's a fantastic title with amazing controls and an amazing story. Could not recommend enough.;10;4 April 2020;23 out of 24 found this helpful.
0;Action;Half life experience;This game captures everything about half life but in vr which (instead of most games which is just used for marketing) is used for the benefit of the game since you feel like your there.;10;29 July 2020;8 out of 10 found this helpful.
0;Action;Forget reviews. Immediately buy the necessary kit & play!;Unlike others I'm not going to talk VR beyond saying that the platform is the future & already owns simulation like flight & racing - & is how all revisions of past legendary games should be revisitedAs with film & music, classic iconic games transport you to another place/time/feeling when replayed. The Soviet-esque Eastern Bloc dystopic vibe that HL2 built can now be experienced in an awe that'll never be available in 2D. Moreover, the tension, mystery, action, nostalgia, gunplay, puzzles etc are simply out of this world - you're in City 17True VR can't be told. It has to be experienced.;10;27 February 2023;2 out of 2 found this helpful.
0;Action;Novel, unique and groundbreaking...but VR still has a long way to go.;Should you invest in this game? ...will probably be the first question anyone has about "Alyx". The game itself is first rate, very much worth playing, and a worthy addition to the "Half-life" series. But there is only one way to play it, and it requires VR goggles. Consider that even modestly-priced VR (Virtual reality) goggles are at least $500 (Oculus Quest is the one I bought) with Valve's VR goggles offering being almost twice that. And after having played the game, the answer to the question "Is it worth it?" is really yes and no and depends, unfortunately, on how much discretionary income is available to you for buying the goggles since you cannot play "Half-life Alyx" without them.Not to put too fine a point on it, but the most important question really might be this, Is VR c. 2020, really worth the expense? Considering what you pay ($500 and up, although almost certainly we can assume that cheaper used VR goggles will become available before too much longer) vs what you get (the VR experience c. 2020) - my answer would have to be no! My reason for this is because, while VR is certainly novel and new, it is not revolutionary enough to be worth causing yourself financial hardship to get it.And if at all possible, do try VR goggles before you buy a set. The visual effect of VR really needs to be experienced to answer the question for yourself. And I repeat, the truth is VR right now is really nothing revolutionary. It's basically just optical trickery, which is fine, except I'd describe the effect as not too different from the old time 3D movies from the 1950's. These 3d movies required you to wear some paper glasses with red tinted plastic over one eye and blue over the other. And VR goggles are really not too different from old-time 3D. By showing one eye one perspective and your other eye a different one, and your grey matter does the rest. The result is certainly a noticeable visual effect, which makes it different from every other game you've played up to now - but paying the freight to get it may not be worth it to you.There are plenty of images on line that will show you a very good representation of the 3D minus the goggles, and if anything the effect is kind of like watching the game action through a piece of glass a foot away, with more action happening 10 to 20 more feet away, in other words, two perspectives at once. The feeling of actual depth is there at times, it is interesting to see, and it does make gameplay more interesting. But the interface you have with the hand controllers is of necessity very slow. Navigating through this virtual world is awkward and clumsy. You cannot react quickly to anything in the game, and so almost everything that happens gives you plenty of time to react. This removes a lot of the tension from the gameplay but is probably unavoidable.So whether this game + VR goggles is worth it to you, is something only you can answer. By the end of the game I did not feel cheated or disappointed, but just wanting more. It's obvious Valve left out a lot of stuff - landscapes, visual effects, et. al. that will surely be there when they finally come out with "Half life 3" (they have not announced it yet but the mere existence of this prequel game basically confirms HL3 beyond much doubt). I thought about this game for several months before actually getting the Oculus Quest to play it, I had modest expectations that were mostly met by this game. But if you're on the fence about it, and $500 will make a significant hardship for you, I'd tend towards the answer being NO! My reasons for that, beyond the high cost, is that virtual reality still has a very long way to go. Maybe in 5 to 10 years they will finally have something truly groundbreaking instead of 1950's 3D. But as of 2020, they are still a long, long away from anything truly revolutionary in the optics field.;9;25 November 2020;6 out of 16 found this helpful.
0;Action;This game takes 2020's VR tech to the maximum-but VR technology is still not ready for primetime!;I thought long and hard before I purchased "Alyx" and that's because it requires a VR headset to play. I did not buy Valve's VR goggles, I bought Oculus Quest for $600, and it works just fine to play this game. But this review is about the GAME, after all, and what a marvelous game it is!Once you get used to your VR headset, plus the clunky hand controllers that work along with it, you're in for some really good gameplay. Being a huge fan of Half life and HL2 + expansions, it didn't take long playing to realize this fits right in with the older versions, and even improves on them in a few ways, naturally. "Alyx" is a worthy addition to the Half-life series, and one can only hope that Valve is well into Half-life 3 (since the mere existence of "Alyx" basically implies that game too, will eventually get made).The game starts you off in a dirty balcony, presumably somewhere in City 17, where you will presumably gain some familiarity with using your goggles and hand controls by doing some easy stuff: moving cans around, picking things up, opening doors etc. Then the tasks get progressively more complex along the way. The game design is quite well thought out, especially since every action requires using the awkward hand controls. And knowing this the devs designed the game to mostly NOT require you to do anything in a hurry. Most actions are done at a leisurely pace because its pretty much required. There are several moments in the game that did require speed of movement, and those are the ones i had to repeat over and over just because I kept getting killed. I never did get truly comfortable with the hand controllers not even by game's end.And that's another thing I have to mention, is the length of the game - it is just too short! It's really not much longer than an HL2 expansion pack. And I could have gone for a lot more game, alas -What I really want to discuss is, VR technology as it exists c. 2023. Considering the relatively large outlay for the game plus the VR goggles, I was rather disappointed. VR tech right now is really not much better than the effect you would get just by watching an old-time 3D movie, using those old cardboard blue/red glasses. The VR effect given by "Alyx" is certainly interesting to see, and it is novel and new.But for the large outlay just buying all the stuff, I felt like it should have been a lot better than it was.I didn't expect to put on the VR goggles and suddenly feel like I was living in "Avatar", but I was hoping it would be a whole lot more realistic than it actually was. perhaps a better sense of depth, being able to see off to the sides a bit, SOME THING mind-blowing...but no, it was just the old "creature from the Black lagoon in 3D" effect from the 1950's updated for the 2020's.Ultimately I did not feel cheated, scammed, or let down too much by this game and I'd play it all over again (in fact it's almost a bit of a waste if you don't replay at least once). But IF you have to put yourself in a financial bind just to play Alyx, I say, DON'T. Save your money until VR improves a whole lot, or at least until the price of all of it comes down!;9;28 January 2023;0 out of 1 found this helpful.
0;Action;VR should be an additional feature not a MUST;The game itself is good and it still does what HL2 did best which is great world design that had great atmosphere with really good sound effects and soundtracks.Graphically it's outdated, but the lightning and level design is so good it makes it look more realistic even though the graphic itself not holding up.Gunplay is nothing special at all. Many games does it a lot better when it comes to gun sounds and the feeling of shooting em.The game does not bring anything revolutionary after all these years. It keeps itself to the original and playing it safe.I'am just honest and telling how it is. No fanboying or anything.All n all its really fun and a great adventure thanks to the world design its really good. I also like old school FPS games with different maps more than openworld like we see today.I give it a 6 mostly because of VR. Not everyone have the money for VR and I had to burrow it from a friend. Also take to account that people with glasses can't wear VR they have to get lenses. They just made the game very hard to be accessed by anyone who owns a PC because of the VR choice.UNACCEPTABLE! Its a slap in the face and a big middle finger to every fan of the series.People should not be giving this game such high score and accepting how dirty valve is.;6;5 May 2023;0 out of 4 found this helpful.
1;Adventure;Brilliant!;Years ago, when Valve launched Portal as a fun Half-Life 2 mod, everybody was thrilled with the concept of the game. Portal 2 didn't just live up to the expectations I had, it slammed them harder into the ground, than I could have ever imagined. If this is no game of the year, I don't know what is... Portal 2's plot reaches much deeper into the history of Aperture Science, revealing new characters and shining a light on the events of Portal 1. Of course the humor most certainly made it to Portal 2 and I want to say, this game is even funnier than its predecessor. The new characters and the deeper plot make this game a must-buy, but that's not good enough for Aperture Science, I mean Valve: A co-op mode was the only thing missing from Portal 1, and they included it in this gem of video games. Challenging test chambers and hours of brain explosions await you and your partner in the Aperture Science Co-Operative Testing Initiative. If you liked Portal, you'll love Portal 2. And if you've never played Portal... do it now!;10;23 April 2011;47 out of 47 found this helpful.
1;Adventure;We are not worthy! We are not worthy!;They have done it again. After Portal, which was more of a fun game teaser really, they have finally made the concept into one hell of a game.First of all, it now has the proper length of a full game (6-8 hours for the single player campaign on your first run). Secondly, the creative puzzle solving from the first part is not only back, but improved with many new gadgets that make you wonder how they come up with that stuff. Find me more creative game play in the industry, I dare you.The single player campaign is now filled with even more hilarious dialog and characters (the old ones are back of course), a better story line and what i thought to be a jaw dropping finale. That's the scale the concept is made for, well done! The game now features a co-op version where you go through a different set of levels which you can only solve through teamwork. Those will puzzle you even more than the single player campaign (in total the game is about 3 times as long as the original by the way). Before they send you out to places where you have to really rely on your partner to, say, not fall into the abyss, they send you through a course of team building exercises so you can get used to how things work now that you're not alone any more. Extremely well thought out. Solving those puzzles is even more gratifying when you do it as a team, or so i have found.Last but not least a little shout out to the group of actors voicing the various characters in the game. Good voice acting is something we have come to expect from Valve games but those guys and gals really know how to deliver comedy. At point I had to stop playing for a minute to wait for the laughing to stop .-) How often do sequels let you down. Not this one. It's longer, bigger, funnier. Now you will see why the people at Valve took so long to make it. Instead of rushing the game and get something half finished *cough* Dragon Age 2 *cough*, they took their time to get it right.Hats off, Valve, hats off.;10;26 April 2011;25 out of 28 found this helpful.
